ZIP,15-24,25-44,45-64,65+
ZCTA5 02188,0.5,35,33.7,30.8
ZCTA5 02189,2.4,29.8,46.8,21
ZCTA5 02190,0.9,30.4,40.6,28.1
ZCTA5 02191,0.6,22.1,41.9,35.4
ZCTA5 02199,2.5,54.4,20.3,22.9
ZCTA5 02203,0,0,0,100
ZCTA5 02210,3.4,63,26.5,7.1
ZCTA5 02215,19.7,60.1,13.6,6.5
ZCTA5 02301,2.7,34.8,39.9,22.6
ZCTA5 02302,0.8,33.4,44.2,21.6
ZCTA5 02322,0,27.5,46.6,25.9
ZCTA5 02324,4.3,31.9,39.3,24.5
ZCTA5 02330,1.3,22,43.3,33.4
ZCTA5 02332,0.7,17.4,45.4,36.5
ZCTA5 02333,1.5,30.6,41.6,26.3
ZCTA5 02338,2.8,23.1,45.8,28.2
ZCTA5 02339,0,25.2,41.9,32.9
ZCTA5 02341,0.8,22.5,47.6,29.1
ZCTA5 02343,3,28.9,41.2,26.9
ZCTA5 02346,1.2,26.5,44.1,28.1
ZCTA5 02347,0.5,24.2,50,25.4
ZCTA5 02351,1,29.3,48.5,21.2
ZCTA5 02356,0.7,24.7,47.9,26.8
ZCTA5 02357,0,0,45.8,54.2
ZCTA5 02359,0.3,22.7,51.6,25.4
ZCTA5 02360,0.5,23.3,43.3,32.9
ZCTA5 02364,0,27.1,42.7,30.2
ZCTA5 02366,-,-,-,-
ZCTA5 02367,0,22,46.6,31.4
ZCTA5 02368,2.9,28.6,45.2,23.2
ZCTA5 02370,3.2,30.7,41,25.2
ZCTA5 02375,1.1,27.3,44.4,27.3
ZCTA5 02379,1.4,24.3,46.2,28.2
ZCTA5 02382,0.7,31.3,46.5,21.6
ZCTA5 02420,0.2,22.9,44.8,32.1
ZCTA5 02421,0.3,20.4,47.6,31.6
ZCTA5 02445,8,35.9,33.1,23.1
ZCTA5 02446,9.4,42.2,24.9,23.6
ZCTA5 02451,4.2,35.6,34.5,25.8
ZCTA5 02452,2.4,35.6,35.2,26.9
ZCTA5 02453,4.5,43.5,33.5,18.6
ZCTA5 02457,100,0,0,0
ZCTA5 02458,2.2,27.8,44,25.9
ZCTA5 02459,0.5,19.6,43.4,36.5
ZCTA5 02460,2.1,29.1,38.1,30.7
ZCTA5 02461,0,24.1,47.2,28.6
ZCTA5 02462,2.3,16.4,52.3,29
ZCTA5 02464,1.5,34.6,45.8,18.1
ZCTA5 02465,0.4,30,42.7,26.9
ZCTA5 02466,2.4,27.1,37.6,32.9
ZCTA5 02467,2.5,28,33.9,35.6
ZCTA5 02468,0,20.8,44.7,34.5
ZCTA5 02472,1.7,41.1,32.2,25
